,time,last,ask,bid,volume,amt,ask1,bid1,asize1,bsize1,ts_date,ts_lag
6916,2022-10-14 11:18:28.100,101.225,101.225,101.22,30956,31328734250,,,81,77,2022-10-14 11:18:28.100,0
6917,2022-10-14 11:18:28.600,101.225,101.225,101.22,30957,31329746500,,,80,77,2022-10-14 11:18:28.600,0
6918,2022-10-14 11:18:29.100,101.225,101.225,101.22,30957,31329746500,,,81,78,2022-10-14 11:18:29.100,0
6919,2022-10-14 11:18:29.600,101.225,101.225,101.22,30957,31329746500,,,83,78,2022-10-14 11:18:29.600,0
6920,2022-10-14 11:18:30.100,101.225,101.225,101.22,30957,31329746500,,,83,80,2022-10-14 11:18:30.100,0
6921,2022-10-14 11:18:30.600,101.225,101.225,101.22,30957,31329746500,,,83,81,2022-10-14 11:18:30.600,0
6922,2022-10-14 11:18:32.100,101.225,101.225,101.22,30957,31329746500,,,83,84,2022-10-14 11:18:32.100,1
6923,2022-10-14 11:18:34.600,101.22,101.225,101.22,30958,31330758700,,,83,83,2022-10-14 11:18:34.600,2
6924,2022-10-14 11:18:35.100,101.22,101.225,101.22,30958,31330758700,,,82,82,2022-10-14 11:18:35.100,0
6925,2022-10-14 11:18:43.600,101.22,101.225,101.22,30958,31330758700,,,82,83,2022-10-14 11:18:43.600,8
6926,2022-10-14 11:18:45.100,101.22,101.225,101.22,30958,31330758700,,,82,84,2022-10-14 11:18:45.100,1
6927,2022-10-14 11:18:53.100,101.22,101.225,101.22,30958,31330758700,,,82,83,2022-10-14 11:18:53.100,8
6928,2022-10-14 11:18:53.600,101.225,101.225,101.22,30959,31331770950,,,81,83,2022-10-14 11:18:53.600,0
6929,2022-10-14 11:18:55.100,101.22,101.225,101.22,30979,31352014950,,,81,63,2022-10-14 11:18:55.100,1
6930,2022-10-14 11:18:55.600,101.22,101.225,101.22,30979,31352014950,,,81,54,2022-10-14 11:18:55.600,0
6931,2022-10-14 11:18:56.600,101.225,101.225,101.22,30980,31353027200,,,80,54,2022-10-14 11:18:56.600,1
6932,2022-10-14 11:18:59.600,101.225,101.225,101.22,30980,31353027200,,,80,55,2022-10-14 11:18:59.600,3
6933,2022-10-14 11:19:04.100,101.225,101.225,101.22,30980,31353027200,,,115,55,2022-10-14 11:19:04.100,4
6934,2022-10-14 11:19:04.600,101.225,101.225,101.22,30980,31353027200,,,117,55,2022-10-14 11:19:04.600,0
6935,2022-10-14 11:19:05.100,101.225,101.225,101.22,30980,31353027200,,,115,55,2022-10-14 11:19:05.100,0
6936,2022-10-14 11:19:07.100,101.225,101.225,101.22,30980,31353027200,,,115,56,2022-10-14 11:19:07.100,2
6937,2022-10-14 11:19:09.100,101.225,101.225,101.22,30981,31354039450,,,114,57,2022-10-14 11:19:09.100,2
6938,2022-10-14 11:19:10.100,101.22,101.225,101.22,30987,31360112650,,,115,51,2022-10-14 11:19:10.100,1
6939,2022-10-14 11:19:11.100,101.225,101.225,101.22,30988,31361124900,,,114,52,2022-10-14 11:19:11.100,1
6940,2022-10-14 11:19:11.600,101.225,101.225,101.22,30988,31361124900,,,114,53,2022-10-14 11:19:11.600,0
6941,2022-10-14 11:19:13.100,101.225,101.225,101.22,30988,31361124900,,,114,54,2022-10-14 11:19:13.100,1
6942,2022-10-14 11:19:15.600,101.225,101.225,101.22,30988,31361124900,,,114,53,2022-10-14 11:19:15.600,2
6943,2022-10-14 11:19:17.600,101.22,101.225,101.22,30989,31362137100,,,114,52,2022-10-14 11:19:17.600,2
6944,2022-10-14 11:19:19.100,101.22,101.225,101.22,30989,31362137100,,,114,51,2022-10-14 11:19:19.100,1
6945,2022-10-14 11:19:21.600,101.22,101.225,101.22,30990,31363149300,,,114,50,2022-10-14 11:19:21.600,2
6946,2022-10-14 11:19:25.600,101.225,101.225,101.22,30991,31364161550,,,113,50,2022-10-14 11:19:25.600,4
6947,2022-10-14 11:19:29.100,101.225,101.225,101.22,30991,31364161550,,,113,51,2022-10-14 11:19:29.100,3
6948,2022-10-14 11:19:32.600,101.225,101.225,101.22,30992,31365173800,,,112,51,2022-10-14 11:19:32.600,3
6949,2022-10-14 11:19:40.100,101.22,101.225,101.22,31002,31375295800,,,113,41,2022-10-14 11:19:40.100,7
6950,2022-10-14 11:19:40.600,101.22,101.225,101.22,31012,31385417800,,,113,32,2022-10-14 11:19:40.600,0
6951,2022-10-14 11:19:41.100,101.22,101.225,101.22,31013,31386430000,,,113,32,2022-10-14 11:19:41.100,0
6952,2022-10-14 11:19:41.600,101.22,101.225,101.22,31023,31396552000,,,113,22,2022-10-14 11:19:41.600,0
